"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00116399292779506,0.839417897922873,0.226,0.188,1,"Progen","Dmac1"
0.00117478000957837,2.75241666416187,0.014,0.003,1,"Progen","Gm34567"
0.00117672681398773,3.6635428553631,0.01,0.001,1,"Progen","Ly6g6g"
0.00118261849667491,1.35187155204829,0.068,0.039,1,"Progen","2810457G06Rik"
0.00118904502134394,2.45520682621422,0.01,0.001,1,"Progen","Gm26903"
0.00119534360800194,1.34436512072378,0.071,0.041,1,"Progen","Myorg"
0.00119886492622822,0.971334286639217,0.153,0.113,1,"Progen","Pramef8"
0.00122781304268963,0.765635691423895,0.142,0.1,1,"Progen","Mgat4a"
0.00123139553293385,0.911111168899514,0.106,0.07,1,"Progen","Fam13a"
0.00123430928240331,0.426551447463064,0.477,0.456,1,"Progen","Ergic3"
0.00123836878981787,1.60990169338684,0.043,0.02,1,"Progen","Zfp429"
0.00124224791177733,0.361400863759505,0.431,0.401,1,"Progen","Taf7"
0.00124722418458913,0.919942538989126,0.074,0.043,1,"Progen","Arsa"
0.00125740909134793,2.98348807335914,0.013,0.002,1,"Progen","Gm13528"
0.00131035386499254,1.68421003441514,0.024,0.008,1,"Progen","Pax2"
0.00132138764296281,0.397336547863172,0.47,0.437,1,"Progen","Fundc2"
0.00132853484766595,0.436702149675759,0.241,0.191,1,"Progen","S1pr3"
0.0013397801761315,2.84460159417952,0.02,0.006,1,"Progen","Matn4"
0.00134158661102689,1.7843933931901,0.05,0.025,1,"Progen","Gstt1"
0.00138855617314841,1.50429228188688,0.026,0.01,1,"Progen","Gm28730"
0.00142138343920848,1.24682352823704,0.05,0.025,1,"Progen","Hr"
0.00144939674763178,1.73323048008812,0.046,0.023,1,"Progen","Luzp4"
0.0014591542477668,0.599975929947799,0.317,0.275,1,"Progen","Tmem106b"
0.00146067341403184,0.149093856808677,0.925,0.899,1,"Progen","Mbnl2"
0.00148597296200714,0.186942511047073,0.622,0.57,1,"Progen","Smdt1"
0.00149792844124738,0.485046695228314,0.333,0.288,1,"Progen","Tm7sf3"
0.00150379438555101,0.756684358481226,0.191,0.148,1,"Progen","Sema3f"
0.0015072256362964,0.414087264371179,0.49,0.473,1,"Progen","Cope"
0.0015222426115623,0.322336572867902,0.444,0.401,1,"Progen","Cdkn1b"
0.00153358974613536,0.203750578635596,0.565,0.528,1,"Progen","Gm4258"
0.00155467680884749,0.515655784332681,0.18,0.132,1,"Progen","Afap1l2"
0.00156238937640207,2.13918033906598,0.022,0.007,1,"Progen","Colca2"
0.00157437371035609,0.386839984138296,0.431,0.402,1,"Progen","Serpinb6a"
0.00162729056293053,1.22654677914319,0.052,0.027,1,"Progen","4930447N08Rik"
0.00167041198301738,0.236791026819918,0.515,0.476,1,"Progen","Kdm6b"
0.00169253518984375,1.23159898627273,0.088,0.055,1,"Progen","Ppp1r3c"
0.00169396396234404,1.48501530109982,0.054,0.029,1,"Progen","Fzd10"
0.00169917479184863,0.32857972497253,0.011,0.034,1,"Progen","Tmem178"
0.00173107772204167,0.118217239514422,0.657,0.574,1,"Progen","Snrpd2"
0.00174622866638893,0.196369009827194,0.381,0.483,1,"Progen","Ssh2"
0.00175443320062943,0.399716706389492,0.43,0.408,1,"Progen","Gars"
0.00177171168035406,1.19157353778612,0.025,0.009,1,"Progen","Prss22"
0.0017876485444524,0.198536849542733,0.7,0.708,1,"Progen","Ccnl1"
0.00180027561424038,0.165702905786373,0.17,0.24,1,"Progen","Crip2"
0.00181698289400388,0.261724105733098,0.558,0.524,1,"Progen","Gm49708"
0.00182758252928034,0.48444031527567,0.409,0.386,1,"Progen","Smim10l1"
0.00187906005765001,0.627465206563158,0.183,0.14,1,"Progen","Gcc1"
0.00188703761786295,0.288253226097111,0.495,0.464,1,"Progen","Ryk"
0.00189566295390281,0.363771580260365,0.476,0.438,1,"Progen","Lamtor2"
0.00191394227835087,1.33225887407386,0.035,0.015,1,"Progen","Crybg1"
0.00194064299382519,0.637384849576408,0.29,0.246,1,"Progen","Il11ra1"
0.00198825597445671,0.416849033895936,0.407,0.369,1,"Progen","Atp6v0d1"
0.00207276494401593,1.03056339226273,0.075,0.045,1,"Progen","Foxp2"
0.00207624012904236,0.60422752370111,0.236,0.193,1,"Progen","Gpr180"
0.00209072286670873,0.598136576878375,0.271,0.234,1,"Progen","Tspan31"
0.00211866897847247,0.692099593199837,0.222,0.18,1,"Progen","Vat1"
0.00217348288915845,1.42130269775125,0.036,0.016,1,"Progen","Ripor3"
0.00217838107195262,1.89275398834293,0.024,0.008,1,"Progen","Rtn4r"
0.00221600212797252,1.60714741832513,0.042,0.02,1,"Progen","Gstt3"
0.00221640398735146,0.173533373343621,0.651,0.592,1,"Progen","Tomm20"
0.00222665006379059,1.50846967095585,0.026,0.01,1,"Progen","Rab39b"
0.00223496410902817,0.612887053448686,0.074,0.044,1,"Progen","Xaf1"
0.0022633526065578,0.832921103076068,0.162,0.123,1,"Progen","Bcl6"
0.00227273976288214,0.274688824658769,0.612,0.584,1,"Progen","Rlim"
0.00228051776437778,0.126864221491267,0.639,0.604,1,"Progen","Mcl1"
0.00231825586600199,0.226483993111964,0.025,0.054,1,"Progen","Gpr156"
0.00233464997911332,1.54002876293745,0.05,0.027,1,"Progen","Lpin3"
0.00237889130030946,0.666424027821603,0.169,0.129,1,"Progen","Erlin1"
0.00238161571073644,0.406988941065295,0.395,0.366,1,"Progen","Galk1"
0.0023937172677624,0.565398839909602,0.146,0.106,1,"Progen","Brdt"
0.00240687496432329,0.409190984452064,0.212,0.163,1,"Progen","Gpm6b"
0.0024145664541777,0.775379231570386,0.202,0.164,1,"Progen","Atf5"
0.00241567360927199,0.390325018478102,0.389,0.358,1,"Progen","Impdh2"
0.00246270209483643,0.42591027602088,0.262,0.212,1,"Progen","Adcy2"
0.0025182686472998,0.413253640096845,0.238,0.19,1,"Progen","Plac8"
0.00252168374991423,0.525671494045846,0.286,0.248,1,"Progen","Trmt10a"
0.0025232246344739,0.764281540426887,0.047,0.024,1,"Progen","Tacstd2"
0.00253675299694892,0.608357636605435,0.283,0.249,1,"Progen","Scyl1"
0.00258887436315491,0.180662527381695,0.625,0.592,1,"Progen","Gnb2"
0.00259436420184839,1.06097231422535,0.043,0.022,1,"Progen","Dtx1"
0.00267828517561611,0.554294502411437,0.363,0.332,1,"Progen","Glmp"
0.00273011460722338,0.976385753883109,0.092,0.06,1,"Progen","Zfp991"
0.00277932203860826,0.371715899909986,0.46,0.441,1,"Progen","Golph3"
0.00286802500467046,2.12361919152499,0.022,0.008,1,"Progen","Prokr2"
0.00287865555087772,0.719157023073283,0.099,0.066,1,"Progen","Ttc7"
