"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.50106218842784e-22,1.18462531060066,0.845,0.497,4.84632938155812e-18,"0","Sox4"
1.64241447965335e-22,1.21108342785609,0.819,0.465,5.30269938900882e-18,"0","Phc2"
2.01584464915056e-22,1.75205277042406,0.759,0.472,6.50835603424749e-18,"0","Prickle2"
2.05883994194588e-22,1.46287242606334,0.716,0.344,6.64717063656648e-18,"0","Tenm4"
3.73881301452786e-22,1.32603671279608,0.733,0.354,1.20711316987046e-17,"0","Myo1b"
4.45454734491178e-22,1.47063785914433,0.659,0.269,1.43819515577822e-17,"0","Elavl4"
4.54640638730065e-22,1.1754247116194,0.948,0.764,1.46785276620389e-17,"0","Dlc1"
5.94019314305842e-22,0.935854055735423,0.922,0.691,1.91785075816784e-17,"0","Map4k4"
6.25571171811567e-22,1.68108756163786,0.655,0.307,2.01971908531083e-17,"0","Mmd"
6.8782956439177e-22,1.76973321893092,0.621,0.246,2.22072653159527e-17,"0","Sox6"
7.48019173603576e-22,1.19746943998493,0.871,0.47,2.41505470389651e-17,"0","Actn1"
8.36538901256507e-22,1.09649619421381,0.897,0.661,2.70084949659676e-17,"0","Ssbp3"
8.73142681926598e-22,1.66155477017918,0.668,0.299,2.81902846286821e-17,"0","Gtf2ird1"
9.3369227722855e-22,1.48840549418926,0.69,0.327,3.01451888626009e-17,"0","Asb4"
1.01008209151482e-21,0.927935436513762,0.931,0.734,3.26115104066476e-17,"0","Ttc3"
1.6008749784939e-21,2.10618847220806,0.53,0.186,5.1685849555654e-17,"0","Igf2"
2.02845091407709e-21,1.45856843732917,0.724,0.377,6.54905662118929e-17,"0","Sorcs2"
2.14263721886997e-21,1.55145469530297,0.737,0.432,6.91771852484358e-17,"0","Frmd4a"
2.27781596410047e-21,2.46566762396947,0.427,0.111,7.35415662169477e-17,"0","Asic2"
3.17459262803646e-21,1.41227556371285,0.677,0.286,1.02494897588785e-16,"0","Tafa1"
3.62453826819762e-21,1.37525377627751,0.78,0.49,1.17021842527028e-16,"0","Peg3"
3.68894302635035e-21,1.41867093167745,0.616,0.229,1.19101214548747e-16,"0","Grip1"
3.86036369036075e-21,1.5508248092502,0.772,0.425,1.24635702106987e-16,"0","Tanc1"
5.64769337842591e-21,1.32609266428455,0.711,0.359,1.82341428415859e-16,"0","St6galnac3"
1.12080564314071e-20,1.04137160112384,0.871,0.555,3.6186330994441e-16,"0","Yaf2"
1.93804009854904e-20,1.39760134930765,0.685,0.339,6.25715626217544e-16,"0","Zfp618"
1.95631941409957e-20,1.42961162764072,0.802,0.47,6.31617286036186e-16,"0","Nxn"
1.99032822774571e-20,1.40983093968037,0.681,0.317,6.42597371609981e-16,"0","Col26a1"
2.44308092244519e-20,1.05665190786298,0.961,0.741,7.88773106620654e-16,"0","Meis2"
4.10512816105698e-20,1.14466136529553,0.797,0.407,1.32538167807886e-15,"0","2610307P16Rik"
6.71033000312857e-20,1.02016350514612,0.797,0.435,2.16649714481009e-15,"0","Isyna1"
9.24013644720264e-20,1.33514136285196,0.862,0.595,2.98327045334385e-15,"0","Cblb"
1.09845374354597e-19,1.25050225336123,0.741,0.362,3.5464677564125e-15,"0","Ptk7"
1.25880048661275e-19,0.904362397637551,0.944,0.668,4.06416325107792e-15,"0","Ube2h"
2.61970878733021e-19,1.53885627002054,0.672,0.322,8.45799179077432e-15,"0","Dach1"
