"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Limk2",1113.65973666153,0.575364306352975,0.133977146390158,4.29449590363302,1.75090714082565e-05,0.000137875354461879
"Patz1",531.53185015743,0.461100908665682,0.112937147029108,4.08280995930275,4.44944075978557e-05,0.00031270669659773
"Eif4enif1",1508.45550551478,-0.0493341134467464,0.107403223536819,-0.459335500575864,0.645993258153303,0.765693612701206
"Trim11",662.74532602543,0.279601479988437,0.163006621413676,1.71527682473013,0.0862944854688489,0.181092160010472
"Ogdh",3026.64544448752,0.0613012827366752,0.114775440154217,0.534097561763284,0.593274036590183,0.726842138787728
"Drg1",1771.60439033872,-0.196060994489771,0.0959700118858495,-2.04294019180673,0.0410583590157903,0.100613022023352
"Rtn4",22554.3181858663,-0.414364490067816,0.171764573346345,-2.41239786525883,0.0158479769643268,0.0463502214337448
"Mtif2",555.813645899425,0.316824400335441,0.136090058151963,2.32804956245711,0.0199094720659833,0.0557687404064292
"Rps27a",14377.2216106866,-0.0377288903273465,0.17151708723893,-0.219971612943664,0.825893262825481,0.896290588501773
"Cfap36",1211.9029670265,0.136802430315306,0.190302348636551,0.718868848941944,0.472221731650406,0.62647302453218
"Ppp4r3b",1839.75593882002,-0.097182412076583,0.14985007218555,-0.648530966046169,0.516641589185503,0.663940490429871
"Pnpt1",960.462943232007,-0.0401333237329913,0.159749808992393,-0.251226114047513,0.80163929576228,0.878958249349234
"Efemp1",2458.76066927384,3.21022712622824,0.268838707745431,11.9410897082129,7.22701010632433e-33,2.1613373203084e-30
"Pold2",720.674448745584,-0.219799408263661,0.227806356740926,-0.964851953247422,0.334618969615535,0.495548921990023
"Zkscan17",783.630530534306,0.23739623049382,0.141911969620611,1.67284148848386,0.0943585049595223,0.194131022498689
"Aebp1",4295.46857346827,3.25093705007009,0.354160577179403,9.17927420369913,4.34006729587448e-20,4.26601300075606e-18
"Polm",206.447680804346,0.965297925969269,0.210358549137948,4.58882194198938,4.45754437144479e-06,4.17423342338627e-05
"Dbnl",1632.92046522493,0.201602001987132,0.0906183244768389,2.22473769131164,0.0260988524278166,0.0695573511045487
