"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Aasdh",131.191196801121,0.526996043639286,0.278939008887361,1.88928771827713,0.058853286334361,0.139242853512166
"Gm14137",5.98004419023504,2.65198061959448,1.15806230291407,2.2900154965076,0.0220204183427351,0.0634000410130038
"Fto",1898.75237096947,-0.183584715284709,0.0802664050568814,-2.28719244563913,0.0221845927683964,0.06378127141595
"Emc7",1800.55490740806,-0.322487358664907,0.103931783161216,-3.10287525967561,0.00191650402001063,0.00840773424009658
"Triqk",75.5379879703817,0.189050336371498,0.368732354432356,0.512703412377607,0.60815880234328,0.749059948966419
"Irs1",947.373836867236,0.594593527167057,0.241461827401816,2.46247422859761,0.0137982088758202,0.0435837357210177
"Zkscan5",344.986140065406,0.0532772426484445,0.15768179965982,0.337878200042008,0.735454976297684,0.84374429863208
"A430033K04Rik",113.594038771293,0.125511454773597,0.241586648718178,0.51952976474297,0.603391362088461,0.745671618209549
"Zfp709",60.6587400312951,0.474658756653131,0.51595163958025,0.919967532304552,0.357589726210251,0.52664304187042
"Clca3a1",977.524828713331,-0.101916072819378,0.352997305745761,-0.288716290919175,0.772798495012213,0.865741264516751
"9330154J02Rik",37.0361034904707,0.171056979029502,0.351519901387454,0.486621037256603,0.626526912418885,0.763455767746844
"Mia3",2883.71368247568,0.344664598138474,0.137718541068871,2.50267389897858,0.0123259055629528,0.0397642709646236
"Sag",7.06834675881592,1.29624545413428,0.828139724953651,1.56524969769664,0.117524372737795,0.235753187270223
"Eif3b",10063.7125658675,0.0538361182658745,0.123708898470942,0.435183878696648,0.66342896335093,0.789197487208926
"St3gal5",1872.79554418697,-0.0621279844571572,0.218689327063702,-0.284092439678412,0.776339540641732,0.868877186341284
"H2-T22",740.867173297271,-0.0540972580296819,0.144898495422842,-0.373345892045431,0.708891024643173,0.823757625858501
"Fez2",4818.06057435119,-0.285972964749249,0.150903059376258,-1.89507731606826,0.0580821593860861,0.137812767105136
"B4galt6",1258.79728084096,-0.325584093240157,0.0837806511247687,-3.88614899584974,0.000101847010503088,0.000685613783348376
"Pgm3",717.674636021813,0.143235254265482,0.172990169278414,0.827996497505914,0.407672483455182,0.575018561611018
"Trim34a",30.9679187741522,-0.676863567595754,0.433952767153994,-1.55976322500453,0.118815844910063,0.237767015383805
"AI504432",20.3145434780405,3.28628649505054,0.803379367861635,4.09057865625513,4.30298244304868e-05,0.000325175920534904
"Socs6",2125.84723754835,0.56009446842533,0.173117679638731,3.23533950775079,0.00121498167976012,0.00571928415629879
"Cnot10",956.568727804922,-0.0304328655327577,0.0988533787383256,-0.307858627809945,0.758189908005134,0.857853766958075
"Col8a2",18.6529834963839,1.04398207820372,0.885066274410868,1.17955243396731,0.238178270673214,0.394406865912683
