"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.62189222441472e-11,1.05097430313998,0.438,0.239,1.16936412357454e-06,"Prolif","Lsm2"
3.65344482563083e-11,0.941930285749945,0.384,0.182,1.17955119640317e-06,"Prolif","Nfatc2"
3.66058934666252e-11,-2.90482727467638,0.079,0.284,1.18185787646346e-06,"Prolif","Crispld2"
3.66959082820529e-11,1.28331962873727,0.325,0.15,1.18476409479436e-06,"Prolif","Hoxc9"
3.73282276749131e-11,2.61430887941532,0.049,0.005,1.20517915871225e-06,"Prolif","4921539H07Rik"
3.84340819851552e-11,1.21301432412804,0.113,0.026,1.24088277097272e-06,"Prolif","Epdr1"
3.90929728986461e-11,-3.2528752090362,0.049,0.251,1.26215572300569e-06,"Prolif","B830012L14Rik"
3.93558393642427e-11,0.637892771495343,0.655,0.416,1.27064262971394e-06,"Prolif","Mdn1"
4.01261616309465e-11,0.544986728695427,0.813,0.621,1.29551325441674e-06,"Prolif","Luzp1"
4.10793112746878e-11,-1.71360500543346,0.153,0.381,1.32628664381457e-06,"Prolif","Chn2"
4.12890869868175e-11,-3.5479204378747,0.034,0.23,1.33305946245639e-06,"Prolif","Smim41"
4.13846471713854e-11,0.988183742323021,0.399,0.202,1.33614471857535e-06,"Prolif","Ptpmt1"
4.27708244129227e-11,-5.68093365545559,0,0.181,1.38089883699562e-06,"Prolif","6720468P15Rik"
4.35037140148857e-11,-1.06082566680359,0.399,0.608,1.4045609106846e-06,"Prolif","Dis3l2"
4.38813654724957e-11,0.77342756552018,0.695,0.471,1.41675376564499e-06,"Prolif","Polr2f"
4.60352153881644e-11,0.614054057110331,0.818,0.63,1.48629296402228e-06,"Prolif","Ctnnb1"
4.65908380194538e-11,0.733179013447086,0.631,0.388,1.50423179629609e-06,"Prolif","Pdlim7"
4.72888584792542e-11,1.07479017891027,0.276,0.114,1.5267680848612e-06,"Prolif","Pycrl"
4.76709536870861e-11,1.89557240650084,0.089,0.017,1.53910441074126e-06,"Prolif","Gm43581"
4.8154720526736e-11,0.781793378345519,0.69,0.486,1.5547233069262e-06,"Prolif","1110038B12Rik"
4.87710079077789e-11,0.859034972372905,0.64,0.4,1.57462076131055e-06,"Prolif","Sae1"
4.97616705693479e-11,-2.12962626262371,0.138,0.35,1.60660529600197e-06,"Prolif","Carmil1"
4.98432955418682e-11,0.584778463420423,0.901,0.725,1.60924063986476e-06,"Prolif","mt-Atp8"
5.06332617316602e-11,0.741172189275026,0.665,0.436,1.63474548826838e-06,"Prolif","Laptm4b"
5.15976180668283e-11,2.04849599359037,0.148,0.042,1.66588069690562e-06,"Prolif","Parpbp"
5.18375509676366e-11,-2.41039530287374,0.108,0.319,1.67362717054112e-06,"Prolif","Agpat4"
5.19137687974046e-11,0.795153172246611,0.552,0.332,1.67608793939301e-06,"Prolif","Gtf2f2"
5.34395441451154e-11,0.940032845470227,0.305,0.131,1.7253491222692e-06,"Prolif","Cyb5r1"
5.43429420319774e-11,2.02262629608338,0.099,0.021,1.75451622644442e-06,"Prolif","Mxd3"
5.56215505078484e-11,0.630080207603689,0.749,0.512,1.79579737969639e-06,"Prolif","Psma5"
5.7774357601035e-11,-4.42509541022254,0.015,0.202,1.86530290950701e-06,"Prolif","Cpz"
5.88050789632573e-11,0.923627515995525,0.429,0.224,1.89858077940773e-06,"Prolif","Fmc1"
5.88673574558003e-11,0.806554993877955,0.468,0.248,1.90059150281797e-06,"Prolif","Noc2l"
5.88697047357643e-11,1.25940371128194,0.286,0.122,1.90066728709889e-06,"Prolif","Cad"
5.93191576875313e-11,-1.22451331762365,0.374,0.548,1.91517832509964e-06,"Prolif","Nek7"
6.06571321612766e-11,-1.26327269565047,0.315,0.525,1.95837616895898e-06,"Prolif","Sec23a"
6.0856701928241e-11,-1.63700090837372,0.286,0.485,1.96481947845519e-06,"Prolif","Rai14"
6.216215161224e-11,-1.67867892768282,0.32,0.503,2.00696722695278e-06,"Prolif","Adamts12"
6.36084413588602e-11,-2.92402023858952,0.034,0.232,2.05366213771216e-06,"Prolif","Vldlr"
6.4390101652328e-11,0.957241727637635,0.468,0.263,2.07889882194706e-06,"Prolif","Tcof1"
6.47035573440005e-11,1.01925973306481,0.384,0.187,2.0890190524084e-06,"Prolif","Hprt"
6.65203850752934e-11,0.613545714831947,0.749,0.542,2.14767715254092e-06,"Prolif","Ndufs5"
6.65742058263105e-11,-5.61310287744245,0,0.178,2.14941480930826e-06,"Prolif","Gpsm3"
6.69854774981193e-11,-3.33141866032565,0.049,0.245,2.16269312650428e-06,"Prolif","Capg"
6.90507254845159e-11,0.889227912548655,0.621,0.427,2.22937172299308e-06,"Prolif","Sox11"
6.91507567934454e-11,0.534322332222561,0.837,0.612,2.23260133383318e-06,"Prolif","Nedd8"
6.91636566063363e-11,1.03808953406017,0.3,0.131,2.23301781719217e-06,"Prolif","Pus7"
7.0380959474889e-11,-1.4746671621087,0.305,0.5,2.27231965760627e-06,"Prolif","Cd47"
7.11237940141054e-11,0.750107986172952,0.685,0.452,2.29630281353941e-06,"Prolif","Tecr"
7.36536881427175e-11,2.90721160455992,0.069,0.011,2.37798297537578e-06,"Prolif","Slc29a4"
7.36970537632533e-11,1.11249520425671,0.261,0.104,2.37938307780039e-06,"Prolif","Ccnb2"
7.52647706216168e-11,0.881332124256779,0.399,0.195,2.42999838428952e-06,"Prolif","Irs1"
7.62875439283139e-11,-3.18653925157235,0.074,0.273,2.46301964326954e-06,"Prolif","Man1a"
8.185516680324e-11,2.77324176787069,0.044,0.004,2.64277591540941e-06,"Prolif","Fgf16"
8.23020277040288e-11,-1.14383576786403,0.512,0.647,2.65720326645228e-06,"Prolif","Exoc6b"
8.34296102226342e-11,-0.472916386531371,0.941,0.922,2.69360839564797e-06,"Prolif","Prrc2c"
8.41047439425591e-11,-1.11786755285104,0.502,0.621,2.71540576292946e-06,"Prolif","Srpk2"
8.57487819781858e-11,-1.03196660629347,0.512,0.65,2.76848517494771e-06,"Prolif","Chd9"
8.63164574168062e-11,-1.96670046712731,0.163,0.38,2.78681314415901e-06,"Prolif","Plpp3"
8.91903781742907e-11,1.59303529059272,0.133,0.036,2.87960054973515e-06,"Prolif","Tedc1"
8.98485413809301e-11,-2.55474183762675,0.074,0.279,2.90085000702471e-06,"Prolif","Tnfaip8"
9.2381672145288e-11,0.983730939305406,0.33,0.15,2.98263466688277e-06,"Prolif","Myg1"
9.33730529753909e-11,0.903959611532334,0.404,0.206,3.01464238836347e-06,"Prolif","Ipo4"
1.00311493979174e-10,1.01565954489706,0.374,0.19,3.23865689461162e-06,"Prolif","Exosc8"
1.02052702710843e-10,0.654873167295986,0.631,0.381,3.29487355972226e-06,"Prolif","Rpl9-ps6"
1.02610605346205e-10,-2.37856765651903,0.133,0.332,3.31288600420756e-06,"Prolif","Phldb1"
1.05270517854254e-10,1.1833360622731,0.409,0.221,3.39876393944244e-06,"Prolif","Bub3"
1.06257355830104e-10,1.48339621333715,0.227,0.087,3.43062499033075e-06,"Prolif","Prps1"
1.07443933092925e-10,0.68752856359201,0.562,0.325,3.46893482383817e-06,"Prolif","Rell1"
1.08528154001146e-10,2.15885654393435,0.133,0.036,3.50393998008101e-06,"Prolif","Neil3"
1.08992078648352e-10,0.850680385914133,0.305,0.135,3.5189182512407e-06,"Prolif","Sacs"
1.10969123445099e-10,0.719164335917015,0.507,0.283,3.58274911954846e-06,"Prolif","Idh3g"
1.12041572176469e-10,-0.88648060248554,0.631,0.73,3.61737419928948e-06,"Prolif","Cltc"
1.13941852138681e-10,1.01116408224634,0.36,0.174,3.67872663814946e-06,"Prolif","Rnaseh2b"
1.14168478927022e-10,2.17775786508171,0.143,0.041,3.68604351063784e-06,"Prolif","Nptxr"
1.15257730449553e-10,2.48982031676599,0.079,0.014,3.72121108529428e-06,"Prolif","Gria2"
1.21553885289675e-10,-2.07963920003215,0.167,0.369,3.92448874046245e-06,"Prolif","Taok3"
1.21986404373608e-10,2.56943268444023,0.064,0.009,3.93845305160632e-06,"Prolif","Prox1os"
1.24109437505182e-10,-1.10852172519037,0.433,0.605,4.0069972992923e-06,"Prolif","Ptk7"
1.30415152691332e-10,0.626423843051113,0.433,0.227,4.21058361979235e-06,"Prolif","Pdpn"
1.31706936143068e-10,-2.03315823029821,0.138,0.343,4.2522901403151e-06,"Prolif","Man2b1"
1.37349609320123e-10,0.533811804893731,0.882,0.707,4.43446948650949e-06,"Prolif","Hnrnpdl"
1.39143321487564e-10,0.589799538855071,0.734,0.496,4.49238127754748e-06,"Prolif","Arhgdia"
1.41346139234456e-10,0.63651452271033,0.734,0.525,4.56350145132364e-06,"Prolif","Eif4e"
1.4727535709187e-10,1.26526648378986,0.266,0.112,4.75493217906811e-06,"Prolif","Sap30"
1.48837995289221e-10,0.676189825489191,0.32,0.142,4.8053835159078e-06,"Prolif","Sema3d"
1.49198398334675e-10,-2.01015775688917,0.182,0.386,4.81701948863331e-06,"Prolif","Msrb3"
1.52322067415288e-10,0.280416593257704,0.985,0.813,4.91787026856999e-06,"Prolif","Ptprd"
1.55462294883965e-10,0.650597463144802,0.749,0.528,5.01925565262368e-06,"Prolif","Supt16"
1.5730349083628e-10,0.588022413227108,0.64,0.398,5.07870050514013e-06,"Prolif","Gadd45b"
1.60190923354369e-10,-7.99095793373908,0,0.171,5.17192415141915e-06,"Prolif","Dcc"
1.61546817487117e-10,-2.01378434095379,0.212,0.405,5.21570054938904e-06,"Prolif","Itpkb"
1.62985228331628e-10,1.0193301616301,0.414,0.221,5.26214108191493e-06,"Prolif","Gar1"
1.6442690754206e-10,0.924387497052267,0.335,0.154,5.30868713690295e-06,"Prolif","Prmt5"
1.65045969213139e-10,0.76365656147128,0.68,0.465,5.32867416201541e-06,"Prolif","Ndufs6"
1.69372376231225e-10,-3.73183098224285,0.034,0.22,5.46835653900132e-06,"Prolif","Apba1"
1.71082097802365e-10,2.78835591704441,0.054,0.007,5.52355660964717e-06,"Prolif","Irs4"
1.73509578707669e-10,-0.935778513009951,0.621,0.706,5.60193025815581e-06,"Prolif","Fbn1"
1.74349050799262e-10,-1.20047628363301,0.468,0.61,5.62903345410499e-06,"Prolif","Col12a1"
1.78976234866526e-10,-2.06217501555335,0.276,0.446,5.77842671890065e-06,"Prolif","Mmd"
1.7933286983728e-10,1.1543387044924,0.222,0.083,5.78994103556643e-06,"Prolif","Sgo2a"
1.82881473150939e-10,-0.720006722591446,0.916,0.897,5.90451124215123e-06,"Prolif","Nfia"
1.85348650841647e-10,-0.915126306802391,0.557,0.688,5.98416654107341e-06,"Prolif","Epb41l2"
